Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	freq
ENSG00000179041	TCGA-SKCM	RRS1	0	0	0	0	8
ENSG00000121743	TCGA-UCEC	GJA3	0	0	0	0	8
ENSG00000174453	TCGA-SKCM	VWC2L	0	0	0	0	8
ENSG00000038358	TCGA-GBM	EDC4	0	0	0	0	8
ENSG00000197905	TCGA-SKCM	TEAD4	0	0	0	0	8
ENSG00000182022	TCGA-TGCT	CHST15	0	0	0	0	8
ENSG00000164609	TCGA-LGG	SLU7	0	0	0	0	8
ENSG00000183287	TCGA-THYM	CCBE1	0	0	0	0	8
ENSG00000165219	TCGA-KIRC	GAPVD1	0	0	0	0	8
ENSG00000130244	TCGA-MESO	FAM98C	0	0	0	0	8
ENSG00000176009	TCGA-KIRC	ASCL3	0	0	0	0	8
ENSG00000163295	TCGA-GBM	ALPI	0	0	0	0	8
ENSG00000107537	TCGA-PAAD	PHYH	0	0	0	0	8
ENSG00000138286	TCGA-SKCM	FAM149B1	0	0	0	0	8
ENSG00000100024	TCGA-LGG	UPB1	0	0	0	0	8
ENSG00000112531	TCGA-SKCM	QKI	1	0	0	0	8
ENSG00000188375	TCGA-THCA	H3F3C	0	0	0	0	8
ENSG00000187091	TCGA-PAAD	PLCD1	0	0	0	0	8
ENSG00000146038	TCGA-READ	DCDC2	0	0	0	0	8
ENSG00000171357	TCGA-LIHC	LURAP1	0	0	0	0	8
ENSG00000068079	TCGA-GBM	IFI35	0	0	0	0	8
ENSG00000120519	TCGA-UCEC	SLC10A7	0	0	0	0	8
ENSG00000005249	TCGA-PAAD	PRKAR2B	0	0	0	0	8
ENSG00000136286	TCGA-LUAD	MYO1G	0	0	0	0	8
ENSG00000198336	TCGA-KICH	MYL4	0	0	0	0	8
ENSG00000102934	TCGA-SARC	PLLP	0	0	0	0	8
ENSG00000075856	TCGA-BLCA	SART3	0	0	0	0	8
ENSG00000171843	TCGA-SKCM	MLLT3	1	0	0	0	8
ENSG00000073605	TCGA-THYM	GSDMB	0	0	0	0	8
ENSG00000108176	TCGA-PCPG	DNAJC12	0	0	0	0	8
ENSG00000132744	TCGA-KICH	ACY3	0	0	0	0	8
ENSG00000186130	TCGA-PCPG	ZBTB6	0	0	0	0	8
ENSG00000135226	TCGA-PAAD	UGT2B28	0	0	0	0	8
ENSG00000236125	TCGA-OV	USP17L4	0	0	0	0	8
ENSG00000105711	TCGA-BRCA	SCN1B	0	0	0	0	8
ENSG00000130590	TCGA-LUSC	SAMD10	0	0	0	0	8
ENSG00000196734	TCGA-BLCA	LCE1B	0	0	0	0	8
ENSG00000185053	TCGA-PCPG	SGCZ	0	0	0	0	8
ENSG00000105438	TCGA-LUSC	KDELR1	0	0	0	0	8
ENSG00000133863	TCGA-STAD	TEX15	0	0	0	0	8
ENSG00000186795	TCGA-READ	KCNK18	0	0	0	0	8
ENSG00000144959	TCGA-LGG	NCEH1	0	0	0	0	8
ENSG00000153896	TCGA-SARC	ZNF599	0	0	0	0	8
ENSG00000099834	TCGA-LUAD	CDHR5	0	0	0	0	8
ENSG00000148482	TCGA-PAAD	SLC39A12	0	0	0	0	8
ENSG00000184731	TCGA-THYM	FAM110C	0	0	0	0	8
ENSG00000256683	TCGA-STAD	ZNF350	0	0	0	0	8
ENSG00000010322	TCGA-THYM	NISCH	0	0	0	0	8
ENSG00000185811	TCGA-LAML	IKZF1	1	1	0	0	8
ENSG00000072818	TCGA-BLCA	ACAP1	0	0	0	0	8
ENSG00000182132	TCGA-SKCM	KCNIP1	0	0	0	0	8
ENSG00000073060	TCGA-PCPG	SCARB1	0	0	0	0	8
ENSG00000145743	TCGA-THYM	FBXL17	0	0	0	0	8
ENSG00000125823	TCGA-THYM	CSTL1	0	0	0	0	8
ENSG00000183484	TCGA-OV	GPR132	0	0	0	0	8
ENSG00000189252	TCGA-TGCT	SPANXN3	0	0	0	0	8
ENSG00000174136	TCGA-BLCA	RGMB	0	0	0	0	8
ENSG00000180104	TCGA-BRCA	EXOC3	0	0	0	0	7
ENSG00000121446	TCGA-STAD	RGSL1	0	0	0	0	7
ENSG00000116171	TCGA-CESC	SCP2	0	0	0	0	7
ENSG00000147799	TCGA-LUAD	ARHGAP39	0	0	0	0	7
ENSG00000173020	TCGA-CESC	ADRBK1	0	0	0	0	7
ENSG00000163576	TCGA-GBM	EFHB	0	0	0	0	7
ENSG00000141448	TCGA-LUSC	GATA6	0	0	0	0	7
ENSG00000233670	TCGA-BRCA	PIRT	0	0	0	0	7
ENSG00000138642	TCGA-LGG	HERC6	0	0	0	0	7
ENSG00000139780	TCGA-BRCA	METTL21C	0	0	0	0	7
ENSG00000113722	TCGA-LIHC	CDX1	0	0	0	0	7
ENSG00000131409	TCGA-SKCM	LRRC4B	0	0	0	0	7
ENSG00000205542	TCGA-PAAD	TMSB4X	0	0	0	0	7
ENSG00000140553	TCGA-BRCA	UNC45A	0	0	0	0	7
ENSG00000107130	TCGA-STAD	NCS1	0	0	0	0	7
ENSG00000157131	TCGA-PAAD	C8A	0	0	0	0	7
ENSG00000237651	TCGA-SKCM	C2orf74	0	0	0	0	7
ENSG00000026950	TCGA-LUAD	BTN3A1	0	0	0	0	7
ENSG00000104972	TCGA-BRCA	LILRB1	0	0	0	0	7
ENSG00000145642	TCGA-LUAD	FAM159B	0	0	0	0	7
ENSG00000145248	TCGA-SKCM	SLC10A4	0	0	0	0	7
ENSG00000204614	TCGA-LUAD	TRIM40	0	0	0	0	7
ENSG00000107672	TCGA-KICH	NSMCE4A	0	0	0	0	7
ENSG00000163093	TCGA-LUSC	BBS5	0	0	0	0	7
ENSG00000124191	TCGA-OV	TOX2	0	0	0	0	7
ENSG00000126467	TCGA-KICH	TSKS	0	0	0	0	7
ENSG00000122545	TCGA-LUAD	SEPTIN7	0	0	0	0	7
ENSG00000157881	TCGA-OV	PANK4	0	0	0	0	7
ENSG00000141946	TCGA-KIRC	ZIM3	0	0	0	0	7
ENSG00000166352	TCGA-UCEC	C11orf74	0	0	0	0	7
ENSG00000136098	TCGA-BRCA	NEK3	0	0	0	0	7
ENSG00000100568	TCGA-LAML	VTI1B	0	0	0	0	7
ENSG00000165233	TCGA-CESC	C9orf89	0	0	0	0	7
ENSG00000249319	TCGA-PAAD	AC068533.7	0	0	0	0	7
ENSG00000115875	TCGA-UCEC	SRSF7	0	0	0	0	7
ENSG00000197808	TCGA-PRAD	ZNF461	0	0	0	0	7
ENSG00000135709	TCGA-KIRC	KIAA0513	0	0	0	0	7
ENSG00000114251	TCGA-LUAD	WNT5A	0	0	0	0	7
ENSG00000173950	TCGA-LUAD	XXYLT1	0	0	0	0	7
ENSG00000213658	TCGA-SARC	LAT	0	0	0	0	7
ENSG00000183305	TCGA-SKCM	MAGEA2B	0	0	0	0	7
ENSG00000119231	TCGA-PRAD	SENP5	0	0	0	0	7
ENSG00000226761	TCGA-STAD	TAS2R46	0	0	0	0	7
ENSG00000117152	TCGA-SKCM	RGS4	0	0	0	0	7
ENSG00000213516	TCGA-UCEC	RBMXL1	0	0	0	0	7
ENSG00000244754	TCGA-PAAD	N4BP2L2	0	0	0	0	7
ENSG00000109475	TCGA-KIRC	RPL34	0	0	0	0	7
ENSG00000164307	TCGA-COAD	ERAP1	0	0	0	0	7
ENSG00000139350	TCGA-BRCA	NEDD1	0	0	0	0	7
ENSG00000167634	TCGA-COAD	NLRP7	0	0	0	0	7
ENSG00000162377	TCGA-BRCA	COA7	0	0	0	0	7
ENSG00000175745	TCGA-LUAD	NR2F1	0	0	0	0	7
ENSG00000110172	TCGA-TGCT	CHORDC1	0	0	0	0	7
ENSG00000214530	TCGA-OV	STARD10	0	0	0	0	7
ENSG00000164304	TCGA-KIRC	CAGE1	0	0	0	0	7
ENSG00000181885	TCGA-KIRC	CLDN7	0	0	0	0	7
ENSG00000116161	TCGA-UCEC	CACYBP	0	0	0	0	7
ENSG00000099901	TCGA-LGG	RANBP1	0	0	0	0	7
ENSG00000168175	TCGA-LGG	MAPK1IP1L	0	0	0	0	7
ENSG00000116005	TCGA-PAAD	PCYOX1	0	0	0	0	7
ENSG00000221932	TCGA-OV	HEPN1	0	0	0	0	7
ENSG00000063244	TCGA-LAML	U2AF2	1	0	0	0	7
ENSG00000171466	TCGA-PAAD	ZNF562	0	0	0	0	7
ENSG00000149503	TCGA-PAAD	INCENP	0	0	0	0	7
ENSG00000181761	TCGA-LIHC	OR8H3	0	0	0	0	7
ENSG00000139131	TCGA-OV	YARS2	0	0	0	0	7
ENSG00000038532	TCGA-BRCA	CLEC16A	0	0	0	0	7
ENSG00000150961	TCGA-LUAD	SEC24D	0	0	0	0	7
ENSG00000247315	TCGA-DLBC	AL034548.1	0	0	0	0	7
ENSG00000099849	TCGA-UCS	RASSF7	0	0	0	0	7
ENSG00000122180	TCGA-PRAD	MYOG	0	0	0	0	7
ENSG00000138411	TCGA-OV	HECW2	0	0	0	0	7
ENSG00000168334	TCGA-LUAD	XIRP1	0	0	0	0	7
ENSG00000155100	TCGA-KIRC	OTUD6B	0	0	0	0	7
ENSG00000166821	TCGA-BRCA	PEX11A	0	0	0	0	7
ENSG00000188393	TCGA-CESC	CLEC2A	0	0	0	0	7
ENSG00000100121	TCGA-ESCA	GGTLC2	0	0	0	0	7
ENSG00000151846	TCGA-OV	PABPC3	0	0	0	0	7
ENSG00000220023	TCGA-OV	AL592183.1	0	0	0	0	7
ENSG00000107281	TCGA-KIRC	NPDC1	0	0	0	0	7
ENSG00000157542	TCGA-OV	KCNJ6	0	0	0	0	7
ENSG00000035664	TCGA-BRCA	DAPK2	0	0	0	0	7
ENSG00000126254	TCGA-ESCA	RBM42	0	0	0	0	7
ENSG00000099957	TCGA-READ	P2RX6	0	0	0	0	7
ENSG00000101346	TCGA-OV	POFUT1	0	0	0	0	7
ENSG00000082258	TCGA-GBM	CCNT2	0	0	0	0	7
ENSG00000167554	TCGA-LAML	ZNF610	0	0	0	0	7
ENSG00000156381	TCGA-BRCA	ANKRD9	0	0	0	0	7
ENSG00000050767	TCGA-BRCA	COL23A1	0	0	0	0	7
ENSG00000119640	TCGA-READ	ACYP1	0	0	0	0	7
ENSG00000184276	TCGA-KIRC	DEFB108B	0	0	0	0	7
ENSG00000185823	TCGA-GBM	NPAP1	0	0	0	0	7
ENSG00000162927	TCGA-CESC	PUS10	0	0	0	0	7
ENSG00000163655	TCGA-LIHC	GMPS	1	0	0	0	7
ENSG00000152223	TCGA-KICH	EPG5	0	0	0	0	7
ENSG00000183921	TCGA-KIRC	SDR42E2	0	0	0	0	7
ENSG00000204427	TCGA-LGG	ABHD16A	0	0	0	0	7
ENSG00000102547	TCGA-TGCT	CAB39L	0	0	0	0	7
ENSG00000214517	TCGA-KIRC	PPME1	0	0	0	0	7
ENSG00000143155	TCGA-LUAD	TIPRL	0	0	0	0	7
ENSG00000169297	TCGA-HNSC	NR0B1	0	0	0	0	7
ENSG00000105388	TCGA-ESCA	CEACAM5	0	0	0	0	7
ENSG00000273173	TCGA-UCEC	SNURF	0	0	0	0	7
ENSG00000213809	TCGA-ESCA	KLRK1	0	0	0	0	7
ENSG00000130826	TCGA-KIRC	DKC1	0	0	0	0	7
ENSG00000215405	TCGA-LUAD	GOLGA6L6	0	0	0	0	7
ENSG00000108242	TCGA-HNSC	CYP2C18	0	0	0	0	7
ENSG00000006059	TCGA-TGCT	KRT33A	0	0	0	0	7
ENSG00000159674	TCGA-HNSC	SPON2	0	0	0	0	7
ENSG00000188659	TCGA-ESCA	FAM154B	0	0	0	0	7
ENSG00000082014	TCGA-SKCM	SMARCD3	0	0	0	0	7
ENSG00000125571	TCGA-HNSC	IL37	0	0	0	0	7
ENSG00000255526	TCGA-HNSC	NEDD8-MDP1	0	0	0	0	7
ENSG00000109193	TCGA-KICH	SULT1E1	0	0	0	0	7
ENSG00000205572	TCGA-STAD	SERF1B	0	0	0	0	7
ENSG00000115970	TCGA-PAAD	THADA	0	0	0	0	7
ENSG00000168538	TCGA-ESCA	TRAPPC11	0	0	0	0	7
ENSG00000198763	TCGA-OV	MT-ND2	0	0	0	0	7
ENSG00000188580	TCGA-PRAD	NKAIN2	0	0	0	0	7
ENSG00000236734	TCGA-KICH	GRIFIN	0	0	0	0	7
ENSG00000082126	TCGA-ESCA	MPP4	0	0	0	0	7
ENSG00000136715	TCGA-ESCA	SAP130	0	0	0	0	7
ENSG00000109184	TCGA-ESCA	DCUN1D4	0	0	0	0	7
ENSG00000125046	TCGA-OV	SSUH2	0	0	0	0	7
ENSG00000154473	TCGA-SARC	BUB3	0	0	0	0	7
ENSG00000066136	TCGA-OV	NFYC	0	0	0	0	7
ENSG00000140009	TCGA-ESCA	ESR2	0	0	0	0	7
ENSG00000188386	TCGA-KICH	PPP3R2	0	0	0	0	7
ENSG00000124785	TCGA-ESCA	NRN1	0	0	0	0	7
ENSG00000177570	TCGA-KIRC	SAMD12	0	0	0	0	7
ENSG00000160606	TCGA-LUSC	TLCD1	0	0	0	0	7
ENSG00000203995	TCGA-PAAD	ZYG11A	0	0	0	0	7
ENSG00000185966	TCGA-KIRC	LCE3E	0	0	0	0	7
ENSG00000198598	TCGA-SKCM	MMP17	0	0	0	0	7
ENSG00000138061	TCGA-PAAD	CYP1B1	0	0	0	0	7
ENSG00000025156	TCGA-KICH	HSF2	0	0	0	0	7
ENSG00000143815	TCGA-ESCA	LBR	0	0	0	0	7
ENSG00000170458	TCGA-STAD	CD14	0	0	0	0	7
ENSG00000186470	TCGA-LUAD	BTN3A2	0	0	0	0	7
ENSG00000090273	TCGA-UVM	NUDC	0	0	0	0	7
ENSG00000109101	TCGA-HNSC	FOXN1	0	0	0	0	7
ENSG00000145734	TCGA-KICH	BDP1	0	0	0	0	7
ENSG00000188419	TCGA-HNSC	CHM	0	0	0	0	7
ENSG00000118495	TCGA-ESCA	PLAGL1	0	0	0	0	7
ENSG00000132874	TCGA-LUAD	SLC14A2	0	0	0	0	7
ENSG00000172769	TCGA-OV	OR5B3	0	0	0	0	7
ENSG00000006377	TCGA-HNSC	DLX6	0	0	0	0	7
ENSG00000188612	TCGA-UCEC	SUMO2	0	0	0	0	7
ENSG00000108262	TCGA-UVM	GIT1	0	0	0	0	7
ENSG00000198570	TCGA-KICH	RD3	0	0	0	0	7
ENSG00000121578	TCGA-ESCA	B4GALT4	0	0	0	0	7
ENSG00000144120	TCGA-STAD	TMEM177	0	0	0	0	7
ENSG00000144369	TCGA-LUAD	FAM171B	0	0	0	0	7
ENSG00000105371	TCGA-STAD	ICAM4	0	0	0	0	7
ENSG00000236371	TCGA-UCEC	CT47A1	0	0	0	0	7
ENSG00000105376	TCGA-PRAD	ICAM5	0	0	0	0	7
ENSG00000125965	TCGA-DLBC	GDF5	0	0	0	0	7
ENSG00000172171	TCGA-ESCA	TEFM	0	0	0	0	7
ENSG00000124257	TCGA-KIRC	NEURL2	0	0	0	0	7
ENSG00000198453	TCGA-ESCA	ZNF568	0	0	0	0	7
ENSG00000165487	TCGA-LUSC	MICU2	0	0	0	0	7
ENSG00000123560	TCGA-BRCA	PLP1	0	0	0	0	7
ENSG00000104490	TCGA-COAD	NCALD	0	0	0	0	7
ENSG00000174842	TCGA-KICH	GLMN	0	0	0	0	7
ENSG00000143786	TCGA-UCEC	CNIH3	0	0	0	0	7
ENSG00000174010	TCGA-LIHC	KLHL15	0	0	0	0	7
ENSG00000213047	TCGA-CHOL	DENND1B	0	0	0	0	7
ENSG00000074855	TCGA-PAAD	ANO8	0	0	0	0	7
ENSG00000168397	TCGA-ESCA	ATG4B	0	0	0	0	7
ENSG00000172273	TCGA-KIRC	HINFP	0	0	0	0	7
ENSG00000204086	TCGA-CHOL	RPA4	0	0	0	0	7
ENSG00000196313	TCGA-UCEC	POM121	0	0	0	0	7
ENSG00000165197	TCGA-COAD	FIGF	0	0	0	0	7
ENSG00000128422	TCGA-LIHC	KRT17	0	0	0	0	7
ENSG00000007171	TCGA-CHOL	NOS2	0	0	0	0	7
ENSG00000160469	TCGA-UCEC	BRSK1	0	0	0	0	7
ENSG00000163374	TCGA-PRAD	YY1AP1	0	0	0	0	7
ENSG00000267318	TCGA-CHOL	RP11-178C3.1	0	0	0	0	7
ENSG00000159199	TCGA-LUSC	ATP5G1	0	0	0	0	7
ENSG00000144035	TCGA-LUAD	NAT8	0	0	0	0	7
ENSG00000087448	TCGA-STAD	KLHL42	0	0	0	0	7
ENSG00000184698	TCGA-LUAD	OR51M1	0	0	0	0	7
ENSG00000137875	TCGA-STAD	BCL2L10	0	0	0	0	7
ENSG00000115073	TCGA-DLBC	ACTR1B	0	0	0	0	7
ENSG00000257365	TCGA-LGG	FNTB	0	0	0	0	7
ENSG00000165140	TCGA-OV	FBP1	0	0	0	0	7
ENSG00000257411	TCGA-LUAD	RP11-603J24.9	0	0	0	0	7
ENSG00000136535	TCGA-OV	TBR1	0	0	0	0	7
ENSG00000162706	TCGA-LUSC	CADM3	0	0	0	0	7
ENSG00000168515	TCGA-DLBC	SCGB1D1	0	0	0	0	7
ENSG00000070159	TCGA-KICH	PTPN3	0	0	0	0	7
ENSG00000173699	TCGA-PAAD	SPATA3	0	0	0	0	7
ENSG00000052344	TCGA-DLBC	PRSS8	0	0	0	0	7
ENSG00000140807	TCGA-TGCT	NKD1	0	0	0	0	7
ENSG00000134419	TCGA-DLBC	RPS15A	0	0	0	0	7
ENSG00000138398	TCGA-LUSC	PPIG	0	0	0	0	7
ENSG00000173120	TCGA-TGCT	KDM2A	0	0	0	0	7
ENSG00000126903	TCGA-DLBC	SLC10A3	0	0	0	0	7
ENSG00000125733	TCGA-LGG	TRIP10	0	0	0	0	7
ENSG00000109814	TCGA-SKCM	UGDH	0	0	0	0	7
ENSG00000142409	TCGA-KIRC	ZNF787	0	0	0	0	7
ENSG00000125691	TCGA-UVM	RPL23	0	0	0	0	7
ENSG00000115255	TCGA-LUSC	REEP6	0	0	0	0	7
ENSG00000104635	TCGA-ESCA	SLC39A14	0	0	0	0	7
ENSG00000151729	TCGA-HNSC	SLC25A4	0	0	0	0	7
ENSG00000162694	TCGA-KIRC	EXTL2	0	0	0	0	7
ENSG00000214511	TCGA-PAAD	HIGD1C	0	0	0	0	7
ENSG00000184076	TCGA-PAAD	UQCR10	0	0	0	0	7
ENSG00000203780	TCGA-ESCA	FANK1	0	0	0	0	7
ENSG00000134440	TCGA-THYM	NARS	0	0	0	0	7
ENSG00000169570	TCGA-LUAD	DTWD2	0	0	0	0	7
ENSG00000181847	TCGA-OV	TIGIT	0	0	0	0	7
ENSG00000181786	TCGA-ACC	ACTL9	0	0	0	0	7
ENSG00000146857	TCGA-BLCA	STRA8	0	0	0	0	7
ENSG00000102935	TCGA-PCPG	ZNF423	0	0	0	0	7
ENSG00000131236	TCGA-BRCA	CAP1	0	0	0	0	7
ENSG00000164334	TCGA-UCEC	FAM170A	0	0	0	0	7
ENSG00000113575	TCGA-GBM	PPP2CA	0	0	0	0	7
ENSG00000124608	TCGA-BRCA	AARS2	0	0	0	0	7
ENSG00000172167	TCGA-LUSC	MTBP	0	0	0	0	7
ENSG00000116791	TCGA-READ	CRYZ	0	0	0	0	7
ENSG00000187959	TCGA-ACC	CPSF4L	0	0	0	0	7
ENSG00000177692	TCGA-ACC	DNAJC28	0	0	0	0	7
ENSG00000126804	TCGA-PRAD	ZBTB1	0	0	0	0	7
ENSG00000110060	TCGA-BLCA	PUS3	0	0	0	0	7
ENSG00000137841	TCGA-STAD	PLCB2	0	0	0	0	7
ENSG00000123342	TCGA-OV	MMP19	0	0	0	0	7
ENSG00000164620	TCGA-LUSC	RELL2	0	0	0	0	7
ENSG00000137177	TCGA-THCA	KIF13A	0	0	0	0	7
ENSG00000183269	TCGA-OV	OR52E8	0	0	0	0	7
ENSG00000213139	TCGA-OV	CRYGS	0	0	0	0	7
ENSG00000033100	TCGA-ACC	CHPF2	0	0	0	0	7
ENSG00000142751	TCGA-ACC	GPN2	0	0	0	0	7
ENSG00000243135	TCGA-OV	UGT1A3	0	0	0	0	7
ENSG00000149923	TCGA-ACC	PPP4C	0	0	0	0	7
ENSG00000173947	TCGA-LUSC	PIFO	0	0	0	0	7
ENSG00000172489	TCGA-THCA	OR5T3	0	0	0	0	7
ENSG00000137825	TCGA-BLCA	ITPKA	0	0	0	0	7
ENSG00000142875	TCGA-ACC	PRKACB	0	0	0	0	7
ENSG00000076944	TCGA-LUSC	STXBP2	0	0	0	0	7
ENSG00000198930	TCGA-ACC	CSAG1	0	0	0	0	7
ENSG00000286522	TCGA-ACC	H3C2	0	0	0	0	7
ENSG00000134574	TCGA-LAML	DDB2	1	0	0	0	7
ENSG00000130254	TCGA-BRCA	SAFB2	0	0	0	0	7
ENSG00000107593	TCGA-OV	PKD2L1	0	0	0	0	7
ENSG00000079974	TCGA-STAD	RABL2B	0	0	0	0	7
ENSG00000109790	TCGA-KIRP	KLHL5	0	0	0	0	7
ENSG00000183038	TCGA-LGG	GGTLC3	0	0	0	0	7
ENSG00000146676	TCGA-LGG	PURB	0	0	0	0	7
ENSG00000196616	TCGA-UCEC	ADH1B	0	0	0	0	7
ENSG00000170498	TCGA-OV	KISS1	0	0	0	0	7
ENSG00000124939	TCGA-LUAD	SCGB2A1	0	0	0	0	7
ENSG00000169676	TCGA-LUSC	DRD5	0	0	0	0	7
ENSG00000171206	TCGA-LUSC	TRIM8	0	0	0	0	7
ENSG00000100784	TCGA-LUAD	RPS6KA5	0	0	0	0	7
ENSG00000128708	TCGA-STAD	HAT1	0	0	0	0	7
ENSG00000148795	TCGA-LGG	CYP17A1	0	0	0	0	7
ENSG00000163001	TCGA-LGG	CCDC104	0	0	0	0	7
ENSG00000152422	TCGA-STAD	XRCC4	0	0	0	0	7
ENSG00000185379	TCGA-UCEC	RAD51D	0	0	0	0	7
ENSG00000120659	TCGA-BRCA	TNFSF11	0	0	0	0	7
ENSG00000070614	TCGA-BLCA	NDST1	0	0	0	0	7
ENSG00000170222	TCGA-THCA	ADPRM	0	0	0	0	7
ENSG00000127824	TCGA-STAD	TUBA4A	0	0	0	0	7
ENSG00000048540	TCGA-LUAD	LMO3	0	0	0	0	7
ENSG00000114354	TCGA-LIHC	TFG	1	0	0	0	7
ENSG00000197701	TCGA-BLCA	ZNF595	0	0	0	0	7
ENSG00000136732	TCGA-LUSC	GYPC	0	0	0	0	7
ENSG00000118496	TCGA-PCPG	FBXO30	0	0	0	0	7
ENSG00000160194	TCGA-BRCA	NDUFV3	0	0	0	0	7
ENSG00000138593	TCGA-BRCA	SECISBP2L	0	0	0	0	7
ENSG00000198033	TCGA-PRAD	TUBA3C	0	0	0	0	7
ENSG00000204252	TCGA-ACC	HLA-DOA	0	0	0	0	7
ENSG00000158966	TCGA-UCEC	CACHD1	0	0	0	0	7
ENSG00000088451	TCGA-LIHC	TGDS	0	0	0	0	7
ENSG00000176340	TCGA-LUSC	COX8A	0	0	0	0	7
ENSG00000025772	TCGA-ACC	TOMM34	0	0	0	0	7
ENSG00000103546	TCGA-PRAD	SLC6A2	0	0	0	0	7
ENSG00000137976	TCGA-BRCA	DNASE2B	0	0	0	0	7
ENSG00000186654	TCGA-THYM	PRR5	0	0	0	0	7
ENSG00000115657	TCGA-THYM	ABCB6	0	0	0	0	7
ENSG00000162244	TCGA-THYM	RPL29	0	0	0	0	7
ENSG00000138379	TCGA-STAD	MSTN	0	0	0	0	7
ENSG00000158941	TCGA-LUAD	CCAR2	0	0	0	0	7
ENSG00000138646	TCGA-OV	HERC5	0	0	0	0	7
ENSG00000184787	TCGA-BRCA	UBE2G2	0	0	0	0	7
ENSG00000258484	TCGA-LUSC	SPESP1	0	0	0	0	7
ENSG00000174950	TCGA-OV	CD164L2	0	0	0	0	7
ENSG00000142082	TCGA-LAML	SIRT3	0	0	0	0	7
ENSG00000143278	TCGA-PCPG	F13B	0	0	0	0	7
ENSG00000173917	TCGA-GBM	HOXB2	0	0	0	0	7
ENSG00000094880	TCGA-MESO	CDC23	0	0	0	0	7
ENSG00000157978	TCGA-LUAD	LDLRAP1	0	0	0	0	7
ENSG00000100302	TCGA-BRCA	RASD2	0	0	0	0	7
ENSG00000102076	TCGA-THYM	OPN1LW	0	0	0	0	7
ENSG00000169740	TCGA-THYM	ZNF32	0	0	0	0	7
ENSG00000118507	TCGA-OV	AKAP7	0	0	0	0	7
ENSG00000254726	TCGA-BRCA	MEX3A	0	0	0	0	7
ENSG00000102910	TCGA-THCA	LONP2	0	0	0	0	7
ENSG00000087903	TCGA-STAD	RFX2	0	0	0	0	7
ENSG00000114956	TCGA-LAML	DGUOK	0	0	0	0	7
ENSG00000131899	TCGA-BRCA	LLGL1	0	0	0	0	7
ENSG00000198408	TCGA-BLCA	MGEA5	0	0	0	0	7
ENSG00000144460	TCGA-BLCA	NYAP2	0	0	0	0	7
ENSG00000165997	TCGA-GBM	ARL5B	0	0	0	0	7
ENSG00000134291	TCGA-PCPG	TMEM106C	0	0	0	0	7
ENSG00000007350	TCGA-BRCA	TKTL1	0	0	0	0	7
ENSG00000090539	TCGA-LUAD	CHRD	0	0	0	0	7
ENSG00000164638	TCGA-STAD	SLC29A4	0	0	0	0	7
ENSG00000204257	TCGA-LAML	HLA-DMA	0	0	0	0	7
ENSG00000132254	TCGA-UCEC	ARFIP2	0	0	0	0	7
ENSG00000148671	TCGA-LUSC	ADIRF	0	0	0	0	7
ENSG00000211452	TCGA-PCPG	DIO1	0	0	0	0	7
ENSG00000079257	TCGA-BRCA	LXN	0	0	0	0	7
ENSG00000015479	TCGA-PCPG	MATR3	0	0	0	0	7
ENSG00000055147	TCGA-THYM	FAM114A2	0	0	0	0	7
ENSG00000213918	TCGA-THCA	DNASE1	0	0	0	0	7
ENSG00000101435	TCGA-ACC	CST9L	0	0	0	0	7
ENSG00000184471	TCGA-LUSC	C1QTNF8	0	0	0	0	7
ENSG00000186509	TCGA-LUSC	OR9Q1	0	0	0	0	7
ENSG00000134365	TCGA-LUSC	CFHR4	0	0	0	0	7
ENSG00000152465	TCGA-PCPG	NMT2	0	0	0	0	7
ENSG00000172179	TCGA-ACC	PRL	0	0	0	0	7
ENSG00000164654	TCGA-ACC	MIOS	0	0	0	0	7
ENSG00000146242	TCGA-BLCA	TPBG	0	0	0	0	7
ENSG00000172367	TCGA-BRCA	PDZD3	0	0	0	0	7
ENSG00000166926	TCGA-PRAD	MS4A6E	0	0	0	0	7
ENSG00000107859	TCGA-THCA	PITX3	0	0	0	0	7
ENSG00000055118	TCGA-OV	KCNH2	0	0	0	0	7
ENSG00000185990	TCGA-LUSC	F8A3	0	0	0	0	7
ENSG00000185753	TCGA-THYM	CXorf38	0	0	0	0	7
ENSG00000103066	TCGA-THYM	PLA2G15	0	0	0	0	7
ENSG00000168385	TCGA-MESO	SEPTIN2	0	0	0	0	7
ENSG00000162620	TCGA-LIHC	LRRIQ3	0	0	0	0	7
ENSG00000169230	TCGA-OV	PRELID1	0	0	0	0	7
ENSG00000111540	TCGA-OV	RAB5B	0	0	0	0	7
ENSG00000100368	TCGA-LUSC	CSF2RB	0	0	0	0	7
ENSG00000104375	TCGA-THYM	STK3	0	0	0	0	7
ENSG00000152503	TCGA-UCS	TRIM36	0	0	0	0	7
ENSG00000124802	TCGA-LUSC	EEF1E1	0	0	0	0	7
ENSG00000198835	TCGA-TGCT	GJC2	0	0	0	0	7
ENSG00000125089	TCGA-KIRP	SH3TC1	0	0	0	0	7
ENSG00000146910	TCGA-LUSC	CNPY1	0	0	0	0	7
ENSG00000159063	TCGA-BRCA	ALG8	0	0	0	0	7
ENSG00000050555	TCGA-LUAD	LAMC3	0	0	0	0	7
ENSG00000152229	TCGA-SKCM	PSTPIP2	0	0	0	0	7
ENSG00000189144	TCGA-LUSC	ZNF573	0	0	0	0	7
