Ensembl_gene	Cancer_type	Gene_name	Driver in the same cancer	Driver in other cancer	Prognostic in the same cancer	Prognostic in other cancer	count
ENSG00000101098	TCGA-UCEC	CD81	0	0	0	0	9
ENSG00000167258	TCGA-PRAD	CDK12	1	1	0	0	9
ENSG00000124164	TCGA-UCS	VPS4B	0	0	0	0	9
ENSG00000213213	TCGA-PCPG	VPS29	0	0	0	0	9
ENSG00000182134	TCGA-OV	EVC	0	0	0	0	9
ENSG00000170802	TCGA-OV	MINOS1	0	0	0	0	9
ENSG00000148219	TCGA-SARC	USP38	0	0	0	0	9
ENSG00000185219	TCGA-SARC	SLC30A6	0	0	0	0	9
ENSG00000000460	TCGA-SARC	ATG13	0	0	0	0	9
ENSG00000167232	TCGA-SARC	PLEKHA2	0	0	0	0	9
ENSG00000171517	TCGA-SARC	ATP13A5	0	0	0	0	9
ENSG00000172772	TCGA-SARC	HTR3C	0	0	0	0	9
ENSG00000140374	TCGA-SARC	JAKMIP1	0	0	0	0	9
ENSG00000221988	TCGA-SARC	DEFB127	0	0	0	0	9
ENSG00000206503	TCGA-LAML	HLA-A	1	1	0	0	9
ENSG00000102974	TCGA-LAML	CTCF	1	1	0	0	9
ENSG00000187533	TCGA-MESO	AMBRA1	0	0	0	0	9
ENSG00000152223	TCGA-MESO	SELL	0	0	0	0	9
ENSG00000157107	TCGA-OV	POMC	0	0	0	0	9
ENSG00000168944	TCGA-OV	TMCO4	0	0	0	0	9
ENSG00000196712	TCGA-HNSC	NF1	1	1	0	1	9
ENSG00000154007	TCGA-PCPG	OR2D2	0	0	0	0	9
ENSG00000185681	TCGA-PCPG	BTF3L4	0	0	0	0	9
ENSG00000145002	TCGA-PCPG	PSMD3	0	0	0	0	9
ENSG00000244734	TCGA-PCPG	NUSAP1	0	0	0	0	9
ENSG00000174957	TCGA-PCPG	FILIP1L	0	0	0	0	9
ENSG00000162542	TCGA-PCPG	DUS4L	0	0	0	0	9
ENSG00000055955	TCGA-PCPG	CPA5	0	0	0	0	9
ENSG00000119682	TCGA-PCPG	NLRP6	0	0	0	0	9
ENSG00000160179	TCGA-PCPG	ZNF486	0	0	0	0	9
ENSG00000196497	TCGA-PCPG	LRRC37B	0	0	0	0	9
ENSG00000156738	TCGA-PCPG	CBLN3	0	0	0	0	9
ENSG00000160993	TCGA-PCPG	HS6ST3	0	0	0	0	9
ENSG00000171806	TCGA-PCPG	PHEX	0	0	0	0	9
ENSG00000112186	TCGA-PCPG	PRDM8	0	0	0	0	9
ENSG00000163430	TCGA-PCPG	SSH1	0	0	0	0	9
ENSG00000177469	TCGA-MESO	THNSL1	0	0	0	0	9
ENSG00000184922	TCGA-MESO	TAF8	0	0	0	0	9
ENSG00000115548	TCGA-MESO	CIB1	0	0	0	0	9
ENSG00000073282	TCGA-HNSC	TP63	1	1	0	0	9
ENSG00000124222	TCGA-UCS	UCKL1	0	0	0	0	9
ENSG00000117280	TCGA-UCS	IL24	0	0	0	0	9
ENSG00000066697	TCGA-UCS	AOAH	0	0	0	0	9
ENSG00000068394	TCGA-UCS	PTGER4	0	0	0	0	9
ENSG00000186575	TCGA-HNSC	NF2	1	1	0	0	9
ENSG00000105656	TCGA-HNSC	ELL	1	1	0	0	9
ENSG00000168702	TCGA-HNSC	LRP1B	1	1	0	0	9
ENSG00000188582	TCGA-UCS	LARGE	0	0	0	0	9
ENSG00000115421	TCGA-HNSC	GRIPAP1	0	0	0	0	9
ENSG00000165671	TCGA-HNSC	NSD1	1	1	0	0	9
ENSG00000064012	TCGA-HNSC	CASP8	1	1	0	0	9
ENSG00000136238	TCGA-HNSC	RAC1	1	1	0	0	9
ENSG00000141646	TCGA-HNSC	SMAD4	1	1	0	0	9
ENSG00000127616	TCGA-HNSC	SMARCA4	1	1	0	1	9
ENSG00000171862	TCGA-UCS	PTEN	1	1	0	1	9
ENSG00000196616	TCGA-UCS	ZAN	0	0	0	0	9
ENSG00000133985	TCGA-MESO	LRTOMT	0	0	0	0	9
ENSG00000051382	TCGA-GBM	PIK3CB	1	1	0	1	9
ENSG00000141027	TCGA-MESO	NCOR1	1	1	0	0	9
ENSG00000006059	TCGA-MESO	KCNK12	0	0	0	0	9
ENSG00000198796	TCGA-MESO	ZNF592	0	0	0	0	9
ENSG00000068078	TCGA-MESO	FGFR3	1	1	0	0	9
ENSG00000170471	TCGA-MESO	MTMR3	0	0	0	0	9
ENSG00000128602	TCGA-GBM	SMO	1	1	0	0	9
ENSG00000158169	TCGA-GBM	FANCC	1	0	0	1	9
ENSG00000167548	TCGA-GBM	KMT2D	1	1	0	1	9
ENSG00000146648	TCGA-GBM	EGFR	1	1	1	1	9
ENSG00000168702	TCGA-GBM	LRP1B	1	1	0	0	9
ENSG00000108821	TCGA-GBM	COL1A1	1	1	0	0	9
ENSG00000101972	TCGA-GBM	STAG2	1	1	0	1	9
ENSG00000171862	TCGA-GBM	PTEN	1	1	0	1	9
ENSG00000085224	TCGA-GBM	ATRX	1	1	0	0	9
ENSG00000176555	TCGA-PCPG	CCL27	0	0	0	0	9
ENSG00000119878	TCGA-HNSC	TMCO1	0	0	0	0	9
ENSG00000136694	TCGA-LGG	UBL5	0	0	0	0	9
ENSG00000186113	TCGA-LGG	EMR2	0	0	0	0	9
ENSG00000167658	TCGA-LGG	TCTN3	0	0	0	0	9
ENSG00000141736	TCGA-READ	ERBB2	1	1	0	1	9
ENSG00000164116	TCGA-READ	NAMPT	0	0	0	0	9
ENSG00000187258	TCGA-LGG	MRPS7	0	0	0	0	9
ENSG00000115468	TCGA-LGG	ZNF410	0	0	0	0	9
ENSG00000136695	TCGA-LGG	C9orf117	0	0	0	0	9
ENSG00000160201	TCGA-PAAD	U2AF1	1	1	0	0	8
ENSG00000051341	TCGA-SKCM	POLQ	1	1	0	0	8
ENSG00000138115	TCGA-MESO	CYP2C8	1	1	0	0	8
ENSG00000115760	TCGA-PAAD	BIRC6	1	1	0	0	8
ENSG00000184378	TCGA-PAAD	SPANXN4	0	0	0	0	8
ENSG00000075292	TCGA-PAAD	PHYH	0	0	0	0	8
ENSG00000101343	TCGA-SKCM	CRNKL1	1	0	0	0	8
ENSG00000112531	TCGA-SKCM	QKI	1	0	0	0	8
ENSG00000167258	TCGA-SKCM	CDK12	1	1	0	0	8
ENSG00000114200	TCGA-SKCM	FAM149B1	0	0	0	0	8
ENSG00000124217	TCGA-MESO	FAM26F	0	0	0	0	8
ENSG00000175065	TCGA-SKCM	KCNIP1	0	0	0	0	8
ENSG00000113790	TCGA-SKCM	TAF7	0	0	0	0	8
ENSG00000100316	TCGA-SKCM	RNF39	0	0	0	0	8
ENSG00000143183	TCGA-SKCM	FSCN2	0	0	0	0	8
ENSG00000215301	TCGA-SKCM	DDX3X	1	1	0	0	8
ENSG00000158850	TCGA-SKCM	TEAD4	0	0	0	0	8
ENSG00000184524	TCGA-PCPG	SREK1	0	0	0	0	8
ENSG00000272333	TCGA-PCPG	C12orf65	0	0	0	0	8
ENSG00000124151	TCGA-PCPG	PDYN	0	0	0	0	8
ENSG00000112130	TCGA-PCPG	COMMD4	0	0	0	0	8
ENSG00000126603	TCGA-PCPG	OR1A1	0	0	0	0	8
ENSG00000168807	TCGA-MESO	CALCR	0	0	0	0	8
ENSG00000132207	TCGA-MESO	PLK1S1	0	0	0	0	8
ENSG00000109846	TCGA-MESO	A1BG	0	0	0	0	8
ENSG00000139780	TCGA-LUSC	GSTP1	0	0	0	0	8
ENSG00000183856	TCGA-LUSC	ELF5	0	0	0	0	8
ENSG00000148123	TCGA-LUSC	ECH1	0	0	0	0	8
ENSG00000110047	TCGA-LUSC	RABAC1	0	0	0	0	8
ENSG00000136068	TCGA-LUSC	C17orf70	0	0	0	0	8
ENSG00000145824	TCGA-LUSC	FBP2	0	0	0	0	8
ENSG00000235173	TCGA-LUSC	GPR88	0	0	0	0	8
ENSG00000102794	TCGA-PAAD	LTB4R	0	0	0	0	8
ENSG00000112294	TCGA-PAAD	PLCD1	0	0	0	0	8
ENSG00000100568	TCGA-LUSC	SYNDIG1L	0	0	0	0	8
ENSG00000127334	TCGA-LUSC	ERP27	0	0	0	0	8
ENSG00000206562	TCGA-LUSC	NAV1	0	0	0	0	8
ENSG00000115274	TCGA-MESO	AGFG1	0	0	0	0	8
ENSG00000176401	TCGA-LUSC	HYI	0	0	0	0	8
ENSG00000204520	TCGA-LUSC	HESX1	0	0	0	0	8
ENSG00000134874	TCGA-LUSC	PTPN21	0	0	0	0	8
ENSG00000123124	TCGA-SARC	SLC35B4	0	0	0	0	8
ENSG00000243244	TCGA-SARC	RGS8	0	0	0	0	8
ENSG00000115307	TCGA-MESO	KRT86	0	0	0	0	8
ENSG00000163930	TCGA-MESO	BAP1	1	1	1	1	8
ENSG00000122012	TCGA-MESO	PNPLA7	0	0	0	0	8
ENSG00000127152	TCGA-GBM	BCL11B	1	1	0	0	8
ENSG00000137571	TCGA-MESO	FAM98C	0	0	0	0	8
ENSG00000095015	TCGA-GBM	MAP3K1	1	1	0	0	8
ENSG00000139687	TCGA-GBM	RB1	1	1	0	1	8
ENSG00000121879	TCGA-GBM	PIK3CA	1	1	0	1	8
ENSG00000183337	TCGA-UCS	BCOR	1	1	0	0	8
ENSG00000108671	TCGA-HNSC	MYBPC1	0	0	0	0	8
ENSG00000167548	TCGA-HNSC	KMT2D	1	1	0	1	8
ENSG00000112667	TCGA-THYM	FANCM	0	0	0	0	8
ENSG00000130921	TCGA-THYM	PDCD11	0	0	0	0	8
ENSG00000104368	TCGA-THYM	FBXL17	0	0	0	0	8
ENSG00000089737	TCGA-THYM	NISCH	0	0	0	0	8
ENSG00000111860	TCGA-KICH	SAG	0	0	0	0	8
ENSG00000009307	TCGA-THYM	GSDMB	0	0	0	0	8
ENSG00000158055	TCGA-UCS	LRRC45	0	0	0	0	8
ENSG00000139687	TCGA-UCS	RB1	1	1	0	1	8
ENSG00000117713	TCGA-UCS	ARID1A	1	1	0	0	8
ENSG00000167074	TCGA-HNSC	TNFRSF4	0	0	0	0	8
ENSG00000121067	TCGA-UCS	SPOP	1	1	0	0	8
ENSG00000286522	TCGA-UCS	PFN4	0	0	0	0	8
ENSG00000139144	TCGA-THYM	DTNA	0	0	0	0	8
ENSG00000175294	TCGA-THYM	CCBE1	0	0	0	0	8
ENSG00000090971	TCGA-THYM	PLK1	0	0	0	0	8
ENSG00000123607	TCGA-THYM	CCDC22	0	0	0	0	8
ENSG00000101639	TCGA-THYM	ZDHHC4	0	0	0	0	8
ENSG00000131051	TCGA-KICH	ANKFN1	0	0	0	0	8
ENSG00000160796	TCGA-KICH	FRMD4A	0	0	0	0	8
ENSG00000006377	TCGA-KICH	ALDH3A2	0	0	0	0	8
ENSG00000163832	TCGA-HNSC	WDR43	0	0	0	0	8
ENSG00000147050	TCGA-HNSC	KDM6A	1	1	0	0	8
ENSG00000157388	TCGA-GBM	CACNA1D	1	1	0	0	8
ENSG00000166710	TCGA-HNSC	B2M	1	1	0	0	8
ENSG00000145675	TCGA-GBM	PIK3R1	1	1	0	1	8
ENSG00000204983	TCGA-LUSC	NXPH2	0	0	0	0	8
ENSG00000213281	TCGA-GBM	NRAS	1	1	0	1	8
ENSG00000147889	TCGA-HNSC	CDKN2A	1	1	0	1	8
ENSG00000242221	TCGA-UVM	ATF3	0	0	0	0	8
ENSG00000166851	TCGA-UVM	PPP1CB	0	0	0	0	8
ENSG00000100345	TCGA-HNSC	MYH9	1	1	0	0	8
ENSG00000165323	TCGA-HNSC	FAT3	1	1	0	0	8
ENSG00000206384	TCGA-HNSC	TLR4	0	0	0	0	8
ENSG00000189079	TCGA-HNSC	ARID2	1	1	0	0	8
ENSG00000183779	TCGA-PCPG	MTX2	0	0	0	0	8
ENSG00000206503	TCGA-HNSC	HLA-A	1	1	0	0	8
ENSG00000139618	TCGA-HNSC	BRCA2	1	1	0	1	8
ENSG00000114978	TCGA-PCPG	CYP2C9	0	0	0	0	8
ENSG00000226372	TCGA-PCPG	MT3	0	0	0	0	8
ENSG00000130023	TCGA-PCPG	ZBTB6	0	0	0	0	8
ENSG00000106086	TCGA-PCPG	DNAJC12	0	0	0	0	8
ENSG00000165799	TCGA-THYM	STX16	0	0	0	0	8
ENSG00000119138	TCGA-THYM	CRYAB	0	0	0	0	8
ENSG00000105954	TCGA-HNSC	RBM23	0	0	0	0	8
ENSG00000215301	TCGA-HNSC	DDX3X	1	1	0	0	8
ENSG00000102974	TCGA-HNSC	CTCF	1	1	0	0	8
ENSG00000179580	TCGA-LUSC	CAPN15	0	0	0	0	8
ENSG00000168256	TCGA-LUSC	CXorf58	0	0	0	0	8
ENSG00000133069	TCGA-LUSC	PTPRN	0	0	0	0	8
ENSG00000143450	TCGA-LUSC	RNF151	0	0	0	0	8
ENSG00000197646	TCGA-SKCM	PDCD1LG2	1	0	0	0	8
ENSG00000189079	TCGA-SKCM	ARID2	1	1	0	0	8
ENSG00000171843	TCGA-SKCM	MLLT3	1	0	0	0	8
ENSG00000178075	TCGA-OV	GFPT1	0	0	0	0	8
ENSG00000129250	TCGA-THCA	H3F3C	0	0	0	0	8
ENSG00000146223	TCGA-THCA	ARSK	0	0	0	0	8
ENSG00000274750	TCGA-LUSC	IFT172	0	0	0	0	8
ENSG00000132464	TCGA-LUSC	DCHS1	0	0	0	0	8
ENSG00000120262	TCGA-LUSC	RDH11	0	0	0	0	8
ENSG00000137834	TCGA-LUSC	ENTPD4	0	0	0	0	8
ENSG00000175548	TCGA-LUSC	KIR3DL2	0	0	0	0	8
ENSG00000198453	TCGA-PAAD	ACER2	0	0	0	0	8
ENSG00000144834	TCGA-LUSC	HFM1	0	0	0	0	8
ENSG00000052344	TCGA-LUSC	M1AP	0	0	0	0	8
ENSG00000150556	TCGA-LUSC	MYH1	0	0	0	0	8
ENSG00000187051	TCGA-LUSC	SAMD10	0	0	0	0	8
ENSG00000124222	TCGA-ACC	CNTN6	0	0	0	0	8
ENSG00000189410	TCGA-ACC	PLK1S1	0	0	0	0	8
ENSG00000228474	TCGA-ACC	MAP9	0	0	0	0	8
ENSG00000159423	TCGA-ACC	HOXB7	0	0	0	0	8
ENSG00000124693	TCGA-ESCA	HIST1H3B	1	1	0	0	8
ENSG00000160117	TCGA-ESCA	CCDC62	0	0	0	0	8
ENSG00000088256	TCGA-SKCM	GNA11	1	1	0	0	8
ENSG00000260342	TCGA-PAAD	PRKAR2B	0	0	0	0	8
ENSG00000164627	TCGA-LUSC	LIN9	0	0	0	0	8
ENSG00000112294	TCGA-PCPG	FBXW8	0	0	0	0	8
ENSG00000141971	TCGA-PAAD	MDFI	0	0	0	0	8
ENSG00000158220	TCGA-PAAD	SPPL3	0	0	0	0	8
ENSG00000187398	TCGA-PCPG	LSMD1	0	0	0	0	8
ENSG00000173200	TCGA-PCPG	RNASE7	0	0	0	0	8
ENSG00000167914	TCGA-PCPG	PSMD2	0	0	0	0	8
ENSG00000147434	TCGA-PCPG	PLVAP	0	0	0	0	8
ENSG00000218819	TCGA-PCPG	HAPLN4	0	0	0	0	8
ENSG00000099968	TCGA-PCPG	ZKSCAN3	0	0	0	0	8
ENSG00000101265	TCGA-PCPG	AIF1	0	0	0	0	8
ENSG00000166435	TCGA-PCPG	CHST9	0	0	0	0	8
ENSG00000149599	TCGA-PCPG	FAM229B	0	0	0	0	8
ENSG00000123685	TCGA-PAAD	FOXN4	0	0	0	0	8
ENSG00000242441	TCGA-PCPG	CATSPER1	0	0	0	0	8
ENSG00000184937	TCGA-PAAD	WT1	1	1	0	0	8
ENSG00000007402	TCGA-PAAD	SLC39A12	0	0	0	0	8
ENSG00000151715	TCGA-PAAD	SLC35F2	0	0	0	0	8
ENSG00000172500	TCGA-PAAD	FCN3	0	0	0	0	8
ENSG00000100647	TCGA-PAAD	PASK	0	0	0	0	8
ENSG00000148481	TCGA-PAAD	GPR157	0	0	0	0	8
ENSG00000176678	TCGA-PRAD	ZNF558	0	0	0	0	8
ENSG00000040731	TCGA-PAAD	CDH10	1	1	0	0	8
ENSG00000198791	TCGA-PAAD	SEC63	0	0	0	0	8
ENSG00000128714	TCGA-ESCA	HOXD13	1	1	0	0	8
ENSG00000165556	TCGA-ESCA	CDX2	1	0	0	0	8
ENSG00000140830	TCGA-ESCA	NDUFV1	0	0	0	0	8
ENSG00000147889	TCGA-PAAD	CDKN2A	1	1	0	1	8
ENSG00000186603	TCGA-PAAD	DUSP27	0	0	0	0	8
ENSG00000088826	TCGA-PAAD	UGT2B28	0	0	0	0	8
ENSG00000006116	TCGA-PAAD	CCDC82	0	0	0	0	8
ENSG00000105643	TCGA-PAAD	TMEM119	0	0	0	0	8
ENSG00000010404	TCGA-PAAD	CELA1	0	0	0	0	8
ENSG00000105576	TCGA-PAAD	DCDC2B	0	0	0	0	8
ENSG00000114331	TCGA-PAAD	FBXO21	0	0	0	0	8
ENSG00000065526	TCGA-PAAD	SPEN	1	1	0	0	8
ENSG00000156486	TCGA-SARC	PLLP	0	0	0	0	8
ENSG00000135052	TCGA-SARC	ZNF599	0	0	0	0	8
ENSG00000172840	TCGA-ESCA	TRAPPC13	0	0	0	0	8
ENSG00000173826	TCGA-LUSC	OR51S1	0	0	0	0	8
ENSG00000005022	TCGA-LUSC	DNAJC5	0	0	0	0	8
ENSG00000173013	TCGA-LUSC	KDELR1	0	0	0	0	8
ENSG00000185982	TCGA-LUSC	CD8B	0	0	0	0	8
ENSG00000137760	TCGA-LUSC	PHF23	0	0	0	0	8
ENSG00000258289	TCGA-LUSC	LCLAT1	0	0	0	0	8
ENSG00000257335	TCGA-LUSC	FLVCR2	0	0	0	0	8
ENSG00000146221	TCGA-LUSC	RSPH9	0	0	0	0	8
ENSG00000180884	TCGA-LUSC	CD34	0	0	0	0	8
ENSG00000164050	TCGA-PAAD	PPP2R3B	0	0	0	0	8
ENSG00000160584	TCGA-PAAD	TPI1	0	0	0	0	8
ENSG00000011405	TCGA-PAAD	CLDN16	0	0	0	0	8
ENSG00000178096	TCGA-PAAD	ANKFN1	0	0	0	0	8
ENSG00000169851	TCGA-PAAD	PDE6D	0	0	0	0	8
ENSG00000169679	TCGA-ESCA	SPI1	0	0	0	0	8
ENSG00000205571	TCGA-ACC	LRRC1	0	0	0	0	8
ENSG00000171943	TCGA-ACC	MED28	0	0	0	0	8
ENSG00000214819	TCGA-ACC	KLHL21	0	0	0	0	8
ENSG00000156959	TCGA-ACC	EDC3	0	0	0	0	8
ENSG00000025708	TCGA-ACC	TCTN1	0	0	0	0	8
ENSG00000154642	TCGA-ACC	PLEKHO1	0	0	0	0	8
ENSG00000100422	TCGA-ACC	CENPU	0	0	0	0	8
ENSG00000130584	TCGA-OV	MMP23B	0	0	0	0	8
ENSG00000089876	TCGA-PAAD	PTCH2	0	0	0	0	8
ENSG00000111530	TCGA-OV	PAPL	0	0	0	0	8
ENSG00000124785	TCGA-OV	GAS1	0	0	0	0	8
ENSG00000085999	TCGA-OV	CD4	0	0	0	0	8
ENSG00000181031	TCGA-OV	SARDH	0	0	0	0	8
ENSG00000144671	TCGA-OV	NR5A1	0	0	0	0	8
ENSG00000154839	TCGA-OV	DEFB107A	0	0	0	0	8
ENSG00000198382	TCGA-OV	NUDT22	0	0	0	0	8
ENSG00000163618	TCGA-OV	CXCL3	0	0	0	0	8
ENSG00000164035	TCGA-OV	DHX37	0	0	0	0	8
ENSG00000084234	TCGA-OV	GATA4	0	0	0	0	8
ENSG00000183640	TCGA-OV	PSORS1C1	0	0	0	0	8
ENSG00000100600	TCGA-OV	KRIT1	0	0	0	0	8
ENSG00000198354	TCGA-PRAD	DCAF12L2	1	1	0	0	8
ENSG00000224420	TCGA-LUAD	PAPSS2	0	0	0	0	8
ENSG00000171992	TCGA-BRCA	TENC1	0	0	0	0	8
ENSG00000134369	TCGA-BRCA	KCNA3	0	0	0	0	8
ENSG00000137561	TCGA-STAD	ZNF350	0	0	0	0	8
ENSG00000139178	TCGA-TGCT	RXFP3	0	0	0	0	8
ENSG00000075568	TCGA-LUAD	HRH4	0	0	0	0	8
ENSG00000050438	TCGA-LUAD	FOXN2	0	0	0	0	8
ENSG00000148843	TCGA-LUAD	ICAM2	0	0	0	0	8
ENSG00000151090	TCGA-LUAD	POU3F1	0	0	0	0	8
ENSG00000186462	TCGA-LUAD	HMGCS1	0	0	0	0	8
ENSG00000102900	TCGA-LUAD	PSPN	0	0	0	0	8
ENSG00000129566	TCGA-LUAD	CD80	0	0	0	0	8
ENSG00000196482	TCGA-LUAD	SLC25A10	0	0	0	0	8
ENSG00000284733	TCGA-LGG	GPR1	0	0	0	0	8
ENSG00000160339	TCGA-LGG	HRH1	0	0	0	0	8
ENSG00000151025	TCGA-LGG	SLCO1C1	0	0	0	0	8
ENSG00000100784	TCGA-LGG	NHSL1	0	0	0	0	8
ENSG00000144306	TCGA-LGG	NFIL3	0	0	0	0	8
ENSG00000166548	TCGA-LGG	TRAF3IP3	0	0	0	0	8
ENSG00000115520	TCGA-LGG	SNRNP48	0	0	0	0	8
ENSG00000125753	TCGA-LGG	TMED6	0	0	0	0	8
ENSG00000189058	TCGA-BRCA	CYP51A1	0	0	0	0	8
ENSG00000154743	TCGA-BRCA	IMPDH1	0	0	0	0	8
ENSG00000177426	TCGA-LUAD	MAST1	0	0	0	0	8
ENSG00000186765	TCGA-BRCA	BLMH	0	0	0	0	8
ENSG00000179546	TCGA-LUAD	MAPK15	0	0	0	0	8
ENSG00000101224	TCGA-LUAD	ATRAID	0	0	0	0	8
ENSG00000102575	TCGA-LUAD	FAM120B	0	0	0	0	8
ENSG00000253251	TCGA-STAD	GRSF1	0	0	0	0	8
ENSG00000158813	TCGA-STAD	TMEM178A	0	0	0	0	8
ENSG00000172399	TCGA-LUAD	GNB5	0	0	0	0	8
ENSG00000167711	TCGA-LUAD	SNX13	0	0	0	0	8
ENSG00000172201	TCGA-LUAD	IFNL2	0	0	0	0	8
ENSG00000204444	TCGA-LUAD	RRP7A	0	0	0	0	8
ENSG00000131409	TCGA-LUAD	MYO1G	0	0	0	0	8
ENSG00000155090	TCGA-LUAD	ZBED5	0	0	0	0	8
ENSG00000146049	TCGA-LUAD	RFXANK	0	0	0	0	8
ENSG00000198298	TCGA-LUAD	MRPL16	0	0	0	0	8
ENSG00000049192	TCGA-LUAD	RABGGTB	0	0	0	0	8
ENSG00000108255	TCGA-LAML	OR6J1	0	0	0	0	8
ENSG00000179295	TCGA-LAML	PTPN11	1	1	0	0	8
ENSG00000041982	TCGA-LAML	TNC	1	1	0	0	8
ENSG00000110048	TCGA-LAML	PELI2	0	0	0	0	8
ENSG00000169313	TCGA-BRCA	ECM2	0	0	0	0	8
ENSG00000153002	TCGA-LGG	TOMM20L	0	0	0	0	8
ENSG00000107185	TCGA-LGG	SLC37A3	0	0	0	0	8
ENSG00000075643	TCGA-DLBC	BAHCC1	0	0	0	0	8
ENSG00000129244	TCGA-LGG	ACSS2	0	0	0	0	8
ENSG00000117713	TCGA-READ	ARID1A	1	1	0	0	8
ENSG00000065559	TCGA-READ	MAP2K4	1	1	0	0	8
ENSG00000148737	TCGA-READ	TCF7L2	1	1	0	0	8
ENSG00000055609	TCGA-READ	KMT2C	1	1	0	0	8
ENSG00000143867	TCGA-TGCT	FXYD6-FXYD2	0	0	0	0	8
ENSG00000204540	TCGA-PRAD	PSMG3	0	0	0	0	8
ENSG00000171862	TCGA-PRAD	PTEN	1	1	0	1	8
ENSG00000172824	TCGA-PRAD	ATP6V1A	0	0	0	0	8
ENSG00000244355	TCGA-PRAD	ASB4	0	0	0	0	8
ENSG00000022556	TCGA-PRAD	FKBP1A	0	0	0	0	8
ENSG00000079102	TCGA-PRAD	RUNX1T1	1	1	0	0	8
ENSG00000196862	TCGA-TGCT	XKR6	0	0	0	0	8
ENSG00000126001	TCGA-TGCT	SPANXN3	0	0	0	0	8
ENSG00000101846	TCGA-TGCT	ZNF169	0	0	0	0	8
ENSG00000113593	TCGA-TGCT	ZNF620	0	0	0	0	8
ENSG00000158887	TCGA-TGCT	UBE2V2	0	0	0	0	8
ENSG00000185608	TCGA-TGCT	DYM	0	0	0	0	8
ENSG00000139899	TCGA-TGCT	CNDP1	0	0	0	0	8
ENSG00000215114	TCGA-TGCT	CHST15	0	0	0	0	8
ENSG00000065361	TCGA-READ	ERBB3	1	1	0	1	8
ENSG00000049618	TCGA-READ	ARID1B	1	1	0	0	8
ENSG00000141510	TCGA-READ	TP53	1	1	1	1	8
ENSG00000243989	TCGA-UCEC	SLC36A2	0	0	0	0	8
ENSG00000116157	TCGA-LGG	SLU7	0	0	0	0	8
ENSG00000105518	TCGA-LGG	NRAP	0	0	0	0	8
ENSG00000157837	TCGA-KIRC	BTRC	0	0	0	0	8
ENSG00000171533	TCGA-KIRC	PAXBP1	0	0	0	0	8
ENSG00000085978	TCGA-TGCT	OTUB2	0	0	0	0	8
ENSG00000179115	TCGA-TGCT	CA13	0	0	0	0	8
ENSG00000102606	TCGA-UCEC	YES1	0	0	0	0	8
ENSG00000128951	TCGA-UCEC	OR4L1	0	0	0	0	8
ENSG00000119900	TCGA-UCEC	SREK1	0	0	0	0	8
ENSG00000235268	TCGA-READ	FBLN7	0	0	0	0	8
ENSG00000027001	TCGA-UCEC	ADAMTSL5	0	0	0	0	8
ENSG00000169618	TCGA-UCEC	SLC5A6	0	0	0	0	8
ENSG00000158315	TCGA-UCEC	ZNF676	0	0	0	0	8
ENSG00000168000	TCGA-UCEC	ZNF184	0	0	0	0	8
ENSG00000123473	TCGA-CESC	STIL	1	0	0	0	8
ENSG00000109670	TCGA-CESC	FBXW7	1	1	0	1	8
ENSG00000100393	TCGA-CESC	EP300	1	1	0	0	8
ENSG00000171862	TCGA-READ	PTEN	1	1	0	1	8
ENSG00000117748	TCGA-LUAD	DKK1	0	0	0	0	8
ENSG00000142186	TCGA-LUAD	DDX25	0	0	0	0	8
ENSG00000095637	TCGA-LUAD	FBXO17	0	0	0	0	8
ENSG00000197454	TCGA-BLCA	ZNF638	0	0	0	0	8
ENSG00000083782	TCGA-BLCA	MVB12A	0	0	0	0	8
ENSG00000198691	TCGA-BLCA	RCAN2	0	0	0	0	8
ENSG00000130023	TCGA-BLCA	ACAP1	0	0	0	0	8
ENSG00000175931	TCGA-BLCA	RGMB	0	0	0	0	8
ENSG00000076053	TCGA-LUAD	GPANK1	0	0	0	0	8
ENSG00000257315	TCGA-STAD	SLC13A4	0	0	0	0	8
ENSG00000102572	TCGA-LUAD	OR51F2	0	0	0	0	8
ENSG00000112297	TCGA-LUAD	CDK5R1	0	0	0	0	8
ENSG00000186815	TCGA-LUAD	ZNF551	0	0	0	0	8
ENSG00000227500	TCGA-STAD	TYW1	0	0	0	0	8
ENSG00000100918	TCGA-LUAD	MAP3K12	0	0	0	0	8
ENSG00000163576	TCGA-LUAD	CYP7B1	0	0	0	0	8
ENSG00000166451	TCGA-LUAD	OSBP	0	0	0	0	8
ENSG00000213516	TCGA-LUAD	OR2C3	0	0	0	0	8
ENSG00000172954	TCGA-LUAD	PAICS	0	0	0	0	8
ENSG00000127586	TCGA-LUAD	DMRT2	0	0	0	0	8
ENSG00000141367	TCGA-LIHC	CLTC	1	1	0	0	8
ENSG00000080503	TCGA-LUAD	DHX30	0	0	0	0	8
ENSG00000107014	TCGA-LUAD	RPL19	0	0	0	0	8
ENSG00000172006	TCGA-BLCA	UTP20	0	0	0	0	8
ENSG00000034971	TCGA-BRCA	GTF2B	0	0	0	0	8
ENSG00000164111	TCGA-BRCA	UBALD1	0	0	0	0	8
ENSG00000171388	TCGA-BRCA	NIPAL2	0	0	0	0	8
ENSG00000141027	TCGA-CHOL	NCOR1	1	1	0	0	8
ENSG00000064300	TCGA-CHOL	PTPRG	0	0	0	0	8
ENSG00000148704	TCGA-CHOL	CHMP5	0	0	0	0	8
